"Date","Company","Close","MA7","MA30","Tariff_Period"
2025-06-02,"JFC",229.4,236.2,233.566666666667,"After"
2025-06-02,"URC",85,85.3357142857143,84.105,"After"
2025-06-02,"CNPF",38.85,39.9571428571429,39.1533333333333,"After"
2025-06-02,"GSMI",289,293.8,290.50453,"After"
2025-06-02,"MONDE",7.2,6.93285714285714,7.27733333333333,"After"
2025-06-03,"JFC",230.6,234.457142857143,233.453333333333,"After"
2025-06-03,"URC",87.5,85.8214285714286,84.655,"After"
2025-06-03,"CNPF",39.2,39.8357142857143,39.2783333333333,"After"
2025-06-03,"GSMI",289,292.942857142857,290.5204,"After"
2025-06-03,"MONDE",7.2,7.00142857142857,7.284,"After"
2025-06-04,"JFC",226.2,232.342857142857,233.2,"After"
2025-06-04,"URC",87.85,86.0857142857143,85.2816666666667,"After"
2025-06-04,"CNPF",39.85,39.7571428571429,39.4066666666667,"After"
2025-06-04,"GSMI",294.8,292.914285714286,290.729603333333,"After"
2025-06-04,"MONDE",7.22,7.07857142857143,7.28966666666667,"After"
2025-06-05,"JFC",230.4,230.942857142857,233.333333333333,"After"
2025-06-05,"URC",87,86.3714285714286,85.815,"After"
2025-06-05,"CNPF",41,39.7571428571429,39.5733333333333,"After"
2025-06-05,"GSMI",294.8,292.885714285714,290.97197,"After"
2025-06-05,"MONDE",7.21,7.16571428571429,7.29366666666667,"After"
2025-06-09,"JFC",228,229.428571428571,233.593333333333,"After"
2025-06-09,"URC",85.2,86.2571428571429,86.2716666666667,"After"
2025-06-09,"CNPF",40,39.8357142857143,39.7066666666667,"After"
2025-06-09,"GSMI",294.8,292.857142857143,291.307196666667,"After"
2025-06-09,"MONDE",7.1,7.21857142857143,7.293,"After"
2025-06-10,"JFC",226,227.657142857143,233.686666666667,"After"
2025-06-10,"URC",86,86.15,86.625,"After"
2025-06-10,"CNPF",39.55,39.7714285714286,39.7916666666667,"After"
2025-06-10,"GSMI",294.6,293,291.642386666667,"After"
2025-06-10,"MONDE",7.19,7.24571428571429,7.29566666666667,"After"
2025-06-11,"JFC",233.8,229.2,233.98,"After"
2025-06-11,"URC",83.15,85.9571428571429,86.6883333333333,"After"
2025-06-11,"CNPF",39.95,39.7714285714286,39.8233333333333,"After"
2025-06-11,"GSMI",295,293.142857142857,291.86489,"After"
2025-06-11,"MONDE",7.14,7.18,7.28533333333333,"After"
2025-06-13,"JFC",226.2,228.742857142857,234.066666666667,"After"
2025-06-13,"URC",82.65,85.6214285714286,86.76,"After"
2025-06-13,"CNPF",39.5,39.8642857142857,39.84,"After"
2025-06-13,"GSMI",292.6,293.657142857143,292.007393333333,"After"
2025-06-13,"MONDE",7.2,7.18,7.28533333333333,"After"
2025-06-16,"JFC",226.2,228.114285714286,234.14,"After"
2025-06-16,"URC",84.55,85.2,86.755,"After"
2025-06-16,"CNPF",39.5,39.9071428571429,39.8566666666667,"After"
2025-06-16,"GSMI",292,294.085714285714,292.28245,"After"
2025-06-16,"MONDE",7.05,7.15857142857143,7.27033333333333,"After"
2025-06-17,"JFC",230.4,228.714285714286,234.193333333333,"After"
2025-06-17,"URC",86.5,85.0071428571429,86.88,"After"
2025-06-17,"CNPF",40.2,39.9571428571429,39.925,"After"
2025-06-17,"GSMI",294.4,294.028571428571,292.610973333333,"After"
2025-06-17,"MONDE",7.1,7.14142857142857,7.24766666666667,"After"
2025-06-18,"JFC",226.8,228.2,234.2,"After"
2025-06-18,"URC",86.85,84.9857142857143,86.975,"After"
2025-06-18,"CNPF",40.1,39.8285714285714,39.9966666666667,"After"
